1	0	0	0
5	0.001	0.001	0.001
20	0.002	0.002	0.002
50	0.01	0.006	0.007
90	0.018	0.014	0.014
100	0.023	0.016	0.024
135	0.028	0.028	0.029
150	0.043	0.058	0.039
250	0.124	0.117	0.121
290	0.166	0.141	0.147
380	0.289	0.254	0.271
400	0.257	0.249	0.274
690	0.864	0.817	1.016
700	0.795	0.738	0.764
1000	1.509	1.518	1.588
1500	3.483	3.431	5.98
1580	3.921	3.73	3.649
2500	11.5	9.8	11.6
2990	20.085	19.821	20.46
3500	21.353	21.188	23.084
4580	38.571	38.902	39.407
5000	40.972	40.051	41.218
6100	70.417	65.21	67.464
6900	73.283	73.048	76.585
7550	86.307	84.164	88.558
8300	111.439	103.741	115.58
8890 	126.688	121.102	128.88
9400	133.53	132.97	138.55
10000 	152.340	149.362	177.992

